\lceil ⌈
\leadsto ↝
\leftarrow ←
\leftarrowtail ↢
\leftharpoondown ↽
\leftharpoonup ↼
\leftleftarrows ⇇
\leftrightarrow ↔
\leftrightarrows ⇆
\leftrightharpoons ⇋
\leftrightsquigarrow ↭
\leftthreetimes ⋋
\leqq ≦
\le ≤
\lessdot ⋖
\lesseqgtr ⋚
\lessgtr ≶
\lesssim ≲
\lfloor ⌊
\lhd ⊲
\ll ≪
\lll ⋘
\longleftarrow ←
\longleftrightarrow ↔
\longmapsto ⇖
\longrightarrow →
\looparrowleft ↫
\looparrowright ↬
\lozenge ◊
\ltimes ⋉
\mapsto ↦
\measuredangle ∡
\mho ℧
\mid ∣
\models ⊨
\mp ∓
\mu μ
\multimap ⊸
\nabla ∇
\natural ♮
\nearrow ↗
\neg ¬
\neq ≠
\nexists ∄
\ni ∋
\notin ∉
\nu ν
\nwarrow ↖
\odot ⊙
\oint ∮
\omega ω
\ominus ⊖
\oplus ⊕
\oslash ⊘
\otimes ⊗
\parallel ∥
\partial ∂
\perp ⊥
\phi φ
\pi π
\pilcrow ¶
\pitchfork ⋔
\pm ±
\pound £
\prec ≺
\preccurlyeq ≼
\preceq ≼
\precsim ≾
\prime ′
\prod ∏
\propto ∝
\psi ψ
\rangle ⟩
\rceil ⌉
\registered ®
\rfloor ⌋
\rhd ⊳
\rho ρ
\rightarrow →
\rightarrowtail ↣
\rightharpoondown ⇁
\rightharpoonup ⇀
\rightleftarrows ⇄
\rightleftharpoons ⇌
\rightrightarrows ⇉
\rightsquigarrow ⇝
\rightthreetimes ⋌
\risingdotseq ≓
\rtimes ⋊
\searrow ↘
\section §
\setminus ∖
\sharp ♯
\shortparallel ∥
\sigma σ
\sim ∼
\simeq ≃
\smallfrown ⌢
\smallsetminus ∖
\smallsmile ⌣
\smile ⌣
\space ␣
\spadesuit ♠
\sphericalangle ∢
\sqcap ⊓
\sqcup ⊔
\sqsubset ⊏
\sqsubseteq ⊑
\sqsupset ⊐
\sqsupseteq ⊒
\square □
\star ⋆
\subset ⊂
\subseteq ⊆
\succ ≻
\succcurlyeq ≽
\succeq ≽
\succsim ≿
\sum ∑
\supset ⊃
\supseteq ⊇
\surd √
\swarrow ↙
\tau τ
\textregistered ®
\texttrademark ™
\therefore ∴
\theta θ
\thickapprox ≈
\thicksim ∼
\times ×
\top ⊤
\trademark ™
\triangle △
\triangledown ▽
\triangleleft ◁
\trianglelefteq ⊴
\triangleq ≜
\triangleright ▷
\trianglerighteq ⊵
\twoheadleftarrow ↞
\twoheadrightarrow ↠
\unlhd ⊴
\unrhd ⊵
\uparrow ↑
\updownarrow ↕
\upharpoonleft ↿
\upharpoonright ↾
\uplus ⊎
\upsilon υ
\upuparrows ⇈
\vDash ⊨
\varepsilon ε
\varkappa ϰ
\varnothing ∅
\varphi ϕ
\varpi ϖ
\varpropto ∝
\varrho ϱ
\varsigma ς
\vartheta ϑ
\vartriangle △
\vartriangleleft ⊲
\vartriangleright ⊳
\vdash ⊢
\vdots ⋮
\vee ∨
\veebar ⊻
\wedge ∧
\wp ℘
\wr ≀
\xi ξ
\zeta ζ
\not\approx ≉
\not\equiv ≢
\not\subset ⊄
\not\subseteq ⊈
\not\supset ⊅
\not\supseteq ⊉
\not\in ∉
\not\ni ∌
\not< ≮
\not> ≯
\not\le ≰
\not\ge ≱
\not\gtrless ≹
\not\sim ≄
\not\cong ≇
\not\vdash ⊬
\not\models ⊭
\not\Vdash ⊮
\not\sqsubseteq ⋢
\not\sqsupseteq ⋣
\subsetneq ⊊
\supsetneq ⊋
\mathcal{A} 𝒜
\mathcal{B} ℬ
\mathcal{C} 𝒞
\mathcal{D} 𝒟
\mathcal{E} ℰ
\mathcal{F} ℱ
\mathcal{G} 𝒢
\mathcal{H} ℋ
\mathcal{I} ℐ
\mathcal{J} 𝒥
\mathcal{K} 𝒦
\mathcal{L} ℒ
\mathcal{M} ℳ
\mathcal{N} 𝒩
\mathcal{O} 𝒪
\mathcal{P} 𝒫
\mathcal{Q} 𝒬
\mathcal{R} ℛ
\mathcal{S} 𝒮
\mathcal{T} 𝒯
\mathcal{U} 𝒰
\mathcal{V} 𝒱
\mathcal{W} 𝒲
\mathcal{X} 𝒳
\mathcal{Y} 𝒴
\mathcal{Z} 𝒵
\mathcal{a} 𝒶
\mathcal{b} 𝒷
\mathcal{c} 𝒸
\mathcal{d} 𝒹
\mathcal{e} ℯ
\mathcal{f} 𝒻
\mathcal{g} ℊ
\mathcal{h} 𝒽
\mathcal{i} 𝒾
\mathcal{j} 𝒿
\mathcal{k} 𝓀
\mathcal{l} 𝓁
\mathcal{m} 𝓂
\mathcal{n} 𝓃
\mathcal{o} ℴ
\mathcal{p} 𝓅
\mathcal{q} 𝓆
\mathcal{r} 𝓇
\mathcal{s} 𝓈
\mathcal{t} 𝓉
\mathcal{u} 𝓊
\mathcal{v} 𝓋
\mathcal{w} 𝓌
\mathcal{x} 𝓍
\mathcal{y} 𝓎
\mathcal{z} 𝓏
\mathbb{A} 𝔸
\mathbb{B} 𝔹
\mathbb{C} ℂ
\mathbb{D} 𝔻
\mathbb{E} 𝔼
\mathbb{F} 𝔽
\mathbb{G} 𝔾
\mathbb{H} ℍ
\mathbb{I} 𝕀
\mathbb{J} 𝕁
\mathbb{K} 𝕂
\mathbb{L} 𝕃
\mathbb{M} 𝕄
\mathbb{N} ℕ
\mathbb{O} 𝕆
\mathbb{P} ℙ
\mathbb{Q} ℚ
\mathbb{R} ℝ
\mathbb{S} 𝕊
\mathbb{T} 𝕋
\mathbb{U} 𝕌
\mathbb{V} 𝕍
\mathbb{W} 𝕎
\mathbb{X} 𝕏
\mathbb{Y} 𝕐
\mathbb{Z} ℤ
\mathbb{a} 𝕒
\mathbb{b} 𝕓
\mathbb{c} 𝕔
\mathbb{d} 𝕕
\mathbb{e} 𝕖
\mathbb{f} 𝕗
\mathbb{g} 𝕘
\mathbb{h} 𝕙
\mathbb{i} 𝕚
\mathbb{j} 𝕛
\mathbb{k} 𝕜
\mathbb{l} 𝕝
\mathbb{m} 𝕞
\mathbb{n} 𝕟
\mathbb{o} 𝕠
\mathbb{p} 𝕡
\mathbb{q} 𝕢
\mathbb{r} 𝕣
\mathbb{s} 𝕤
\mathbb{t} 𝕥
\mathbb{u} 𝕦
\mathbb{v} 𝕧
\mathbb{w} 𝕨
\mathbb{x} 𝕩
\mathbb{y} 𝕪
\mathbb{z} 𝕫
\mathbb{0} 𝟘
\mathbb{1} 𝟙
\mathbb{2} 𝟚
\mathbb{3} 𝟛
\mathbb{4} 𝟜
\mathbb{5} 𝟝
\mathbb{6} 𝟞
\mathbb{7} 𝟟
\mathbb{8} 𝟠
\mathbb{9} 𝟡
\mathfrak{A} 𝔄
\mathfrak{B} 𝔅
\mathfrak{C} ℭ
\mathfrak{D} 𝔇
\mathfrak{E} 𝔈
\mathfrak{F} 𝔉
\mathfrak{G} 𝔊
\mathfrak{H} ℌ
\mathfrak{I} ℑ
\mathfrak{J} 𝔍
\mathfrak{K} 𝔎
\mathfrak{L} 𝔏
\mathfrak{M} 𝔐
\mathfrak{N} 𝔑
\mathfrak{O} 𝔒
\mathfrak{P} 𝔓
\mathfrak{Q} 𝔔
\mathfrak{R} ℜ
\mathfrak{S} 𝔖
\mathfrak{T} 𝔗
\mathfrak{U} 𝔘
\mathfrak{V} 𝔙
\mathfrak{W} 𝔚
\mathfrak{X} 𝔛
\mathfrak{Y} 𝔜
\mathfrak{Z} ℨ
\mathfrak{a} 𝔞
\mathfrak{b} 𝔟
\mathfrak{c} 𝔠
\mathfrak{d} 𝔡
\mathfrak{e} 𝔢
\mathfrak{f} 𝔣
\mathfrak{g} 𝔤
\mathfrak{h} 𝔥
\mathfrak{i} 𝔦
\mathfrak{j} 𝔧
\mathfrak{k} 𝔨
\mathfrak{l} 𝔩
\mathfrak{m} 𝔪
\mathfrak{n} 𝔫
\mathfrak{o} 𝔬
\mathfrak{p} 𝔭
\mathfrak{q} 𝔮
\mathfrak{r} 𝔯
\mathfrak{s} 𝔰
\mathfrak{t} 𝔱
\mathfrak{u} 𝔲
\mathfrak{v} 𝔳
\mathfrak{w} 𝔴
\mathfrak{x} 𝔵
\mathfrak{y} 𝔶
\mathfrak{z} 𝔷
\from ←
\to →
\implies ⇒
\iff ⇔
-–- –
